panel	dataset	biological_unit	n	plotted_quantity	exact_method	uncertainty_or_test	script	source_output	inference_boundary
Fig1A-E	Institutional elastography cohort	patient	8142	cohort flow, baseline distributions, CAP-LSM states, marker prevalence	adult first eligible examination after technical QC; CAP 280 dB/m and LSM 9.5 kPa state thresholds	descriptive counts and percentages	code/governed_clinical_transparency/rebuild_final_clinical_visuals.py	data/clinical_aggregate/Table1_baseline_8142.tsv; clinical_analysis_summary.json	participant-level data governed
Fig1F	Institutional elastography cohort	patient	4525 development; 3617 temporal; 2286 transport test	AUROC for LSM >=9.5 kPa	StandardScaler plus L2 logistic regression, default C=1.0 and lbfgs, predictors age sex BMI CAP; shuffled stratified five-fold OOF development; locked temporal application	1200 patient bootstraps; percentile 95% CI; Brier score	code/governed_clinical_transparency/rebuild_final_clinical_visuals.py	data/clinical_aggregate/clinical_validation_metrics.tsv	departmental analysis is a separate transport test
Fig1H-K	Institutional longitudinal elastography cohort	patient	772	four-state transitions and threshold persistence	first and last eligible examinations separated by at least 90 days; CAP 280 and LSM 9.5 thresholds	descriptive counts and proportions	code/governed_clinical_transparency/rebuild_final_clinical_visuals.py	data/clinical_aggregate/longitudinal_state_flow.tsv; longitudinal_outcomes.tsv	observational association
Fig1L	Linked serum complete cases	patient	46	standardized univariable odds ratios	frozen rank-normalized aggregate proxy	binomial GLM Wald 95% CI	code/governed_clinical_transparency/rebuild_final_clinical_visuals.py	data/clinical_aggregate/serum_imbalance_associations.tsv	exploratory and univariable
Fig2A-B	GSE295293	mouse	9; 3 per group	animal-pseudobulk progression, withdrawal, and residual log2 fold changes	edgeR filterByExpr, TMM, robust quasi-likelihood negative-binomial contrasts; persistence requires progression FDR <0.10, abs log2FC >=0.5, same residual direction, residual FDR <0.10, at least 50% retained	BH FDR; exact 1680 allocation tests for trajectory summaries	code/public_mechanism/mouse_resolver_lock_trajectory.py	data/mouse_pseudobulk_derived/*; data/UQ_spatial_derived/S13_mouse_resolver_lock_trajectory/*	animal is the inferential unit
Fig2C-D	GSE305331	pooled condition library	7 libraries; 3 mice pooled per library	condition-level module trajectories and standardized resolver/retention proxies	resolver proxy is mean Endo4_WNT_resolver and LAM_resolver; HSC-retention proxy is HSC_pathogenic_retention; standardized within etiology	descriptive only	code/public_mechanism/mouse_resolver_lock_trajectory.py	data/UQ_spatial_derived/S13_mouse_resolver_lock_trajectory/GSE305331_cross_etiology_phase_trajectories.tsv	543639 nuclei are technical observations
Fig3A-B	GSE136103	cell for display; donor for biological inference	60721 cells	released embedding and marker dot plot	frozen processed atlas display	descriptive	public reconstruction; accession in docs/RAW_DATA_ACCESSIONS.md	public source dataset	cell-level display does not create replicate-level inference
Fig3C-D	GSE244832, GSE295293, source HSC modalities	gene evidence across donor- and animal-level analyses	4 HSC candidates; 5 macrophage genes	directional evidence matrix, categorical threshold status, persistent-gene chord	criterion-specific categorical coding; chord width is clipped absolute residual log2FC	mixed source-specific tests; no omnibus evidence magnitude	code/reviewer_revision/rebuild_high_risk_panels.py	data/figure_reconstruction/integrated_retention_candidates.tsv; LAM_priority_gene_fates.tsv	no shared numeric evidence scale
Fig4A-B	UQ MASLD Visium	patient cluster	33 biopsy fragments; 32 clusters; 13585 spots	module means and lineage-adjusted scar-proximity coefficients	top 15% structural ECM scar field; 8 x 4 biopsy grid; lineage and library-size adjustment; array fixed effects	HC3 SE; 9999 within-array Freedman-Lane permutations; BH across 33 spatial tests	code/public_mechanism/UQ_Visium_resolver_window_analysis.py	data/UQ_resolver_source_inputs/*; data/UQ_spatial_derived/S10_UQ_spatial_proteolytic_lock/*	patient cluster is the stage-level unit
Fig4C-F	UQ CODEX	section	one F1, one F2, one F4 section	multiplex fields and section-specific scar enrichment	128 x 128 pixel primary patches with DAPI and tissue coverage covariates; 96 and 160 sensitivity	section-level descriptive spatial nulls	code/reviewer_revision/rebuild_high_risk_panels.py	data/figure_reconstruction/UQ_CODEX_scar_enrichment.tsv	no replicated stage trend
Fig5A-K	UQ MASLD Visium	patient cluster	33 biopsy fragments; 32 clusters	posterior state maps, largest retention component, cross-state interfaces, state fractions	full-resolution adjacency <=1.25 times median nearest-neighbor distance; display posterior >=0.67; topology cutoff 0.50 with 0.40-0.67 sensitivity	array-fixed OLS, HC3, 10000 within-array permutations, BH across four outcomes	code/public_mechanism/spatial_domain_wall_resolver_window.py	data/UQ_spatial_derived/S11_UQ_phase_basin_control/*; S14_spatial_domain_wall/*	display and topology thresholds have different purposes
Fig6A-C	UQ MASLD Visium	patient cluster	589 blocks; 33 biopsy fragments; 32 clusters	static two-component GMM, BIC, component occupancy	full-covariance GMM, 1-5 components, 50 starts, seed 20260712	300 patient bootstraps and leave-one-patient-out refits	code/reviewer_revision/rebuild_high_risk_panels.py	data/UQ_spatial_derived/S11_UQ_phase_basin_control/*	no physical potential, flow field, or hysteresis parameter
Fig6D	GSE295293	mouse	9; 3 per group	group trajectory in standardized repair-retention space	animal module-score projection	exact group-allocation test where reported	code/reviewer_revision/rebuild_high_risk_panels.py	data/UQ_spatial_derived/S13_mouse_resolver_lock_trajectory/*	incomplete return geometry, not a fitted dynamical trajectory
Fig7A	literature plus project-supported links	relationship	24 evidence-coded edges	candidate feedback circuit	solid gray links are literature-established; dashed berry links are project-supported associations; dotted gold links are candidates for direct testing	edge-specific evidence class, project result, DOI, and direct-test flag	code/figures/build_mechanism_circuit.py	data/mechanism_summary/mechanism_edge_evidence.tsv; figures/source_panels/Fig7A_Evidence_Coded_Mechanism.svg	hypothesis model; candidate edges are not treated as established causal links
Fig7B	scGPT, CellOracle, LINCS	donor or matched signature context	platform-specific	in-silico target effects	target value ablation, network knockout simulation, matched-context L1000 direction check	5000 donor bootstraps or platform-specific nulls	code/perturbation/*	data/perturbation_derived/*	platform scales differ; no experimental genetic perturbation
Fig7C-D	LINCS L1000	signature, compound, pair	8632 signatures; 575 compounds; 394 eligible; 299 different-compound pairs	dual-axis compound score and asymmetric order-aware pair score	20 early-role and 15 late-role candidates; one self-pair excluded; 27 weight schemes	rank and weight sensitivity	code/public_mechanism/sequential_basin_switch_drugs.py; code/reviewer_revision/rebuild_high_risk_panels.py	data/UQ_spatial_derived/S12_sequential_basin_switch_drugs/*; docs/methods_audit/machine_readable/Drug_Order_Complete_Results.tsv	computational nomination; gates not enforced in pair generation
